MONTH,DATE,DESA,SITE_TYPE,SITE_NO,SITENAME_COMBINE,DEPLOYMENT,NO_CAMERA,TIME_DROPPED,TIME_PICKEDUP,LATITUDE,LONGITUDE,WATER_DEPTH_BEFORE,WATER_DEPTH_AFTER,VIDEO_FILENAME,NO_FILES,TIME_TOTALFOOTAGE,NO_BATTERY,WEATHER,TIDE_HEIGHT,TIDE_DIRECTION,NOTES_FIELD,F1_TIME,F2_TIME,F3_TIME,F4_TIME,F5_TIME,F6_TIME,TOTALTIME_RECORDING,ANALYSISTIME_START,ANALYSISTIME_END,TOTALTIME_ANALYSIS,VISIBILITY,VEGITATION,NOTES_TIME,NO_ALLSPECIES,NO_FISHSPECIES,MAXN_UNIDGUPPY,TIME_1STUNIDGUPPY,T1_UNIDGUPPY,MAXN_GUPPYBOTH,TIME_1STGUPPYBOTH,T1_GUPPYBOTH,MAXN_GUPPYA,TIME_1STGUPPYA,T1_GUPPYA,MAXN_GUPPYB,TIME_1STGUPPYB,T1_GUPPYB,MAXN_GUPPYC,TIME_1STGUPPYC,T1_GUPPYC,MAXN_GARONGGONG,TIME_1STGARONGGONG,T1_GARONGGONG,MAXN_BLOWFISH,TIME_1STBLOWFISH,T1_BLOWFISH,MAXN_FISHD,TIME_1STFISHD,T1_FISHD,MAXN_FISHE,TIME_1STFISHE,T1_FISHE,MAXN_FISHF,TIME_1STFISHF,T1_FISHF,MAXN_FISHG,TIME_1STFISHG,T1_FISHG,MAXN_FISHH,TIME_1STFISHH,T1_FISHH,MAXN_FISHK,TIME_1STFISHK,T1_FISHK,MAXN_FISHL,TIME_1STFISHL,T1_FISHL,MAXN_FISHM,TIME_1STFISHM,T1_FISHM,MAXN_FISHN,TIME_1STFISHN,T1_FISHN,MAXN_FISHO,TIME_1STFISHO,T1_FISHO,MAXN_KERONGKERONG,TIME_1STKERONGKERONG,T1_KERONGKERONG,MAXN_YL,TIME_1STYL,T1_YL,MAXN_BFLY1,TIME_1STBFLY1,T1_BFLY1,MAXN_FISHJ,TIME_FISHJ,T1_FISHJ,MAXN_FISHCHEETAGIRLZ,TIME_1STCHEETAGIRLZ,T1_FISHCHEETAGIRLZ,MAXN_VERTFISH,TIME_1STVERTFISH,T1_VERTFISH,MAXN_BIGBOI,TIME_1STBIGBOI,T1_BIGBOI,MAXN_SANDFISH,TIME_1STSANDFISH,T1_SANDFISH,MAXN_PIPEFISH,TIME_1STPIPEFISH,T1_PIPEFISH,NOTES_SPECIES
AUGUST,28/08/2024,LANTANGPEO,L,6,L6,2,11,7:30,9:32,-5.468651,119.300428,50,22,28_08_2024_0730_C11_D2_LTPL6,4,2:02,BN1,SUNNY,0.5,D,,0:39:38,0:30:15,0:25:44,0:03:45,,,1:39:22,0:06:02,0.02255787,1:00:51,50,100,,5,4,,,NA,1,0:26:18,0:20:16,,,NA,,,NA,,,NA,1,0:46:41,0:40:39,1,0:19:50,0:13:48,,,NA,,,NA,3,0:28:45,0:22:43,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
AUGUST,28/08/2024,LANTANGPEO,D,5,D5,3,5,7:38,9:23,-5.468265,119.302079,40,15,28_08_2024_0738_C5_D3_LTPD5,3,1:45,B18,SUNNY,0.5,D,ULANGI. VIDEO JELEK,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
AUGUST,28/08/2024,LANTANGPEO,L,5,L5,4,12,7:41,9:23,-5.468251,119.301957,40,11,28_08_2024_0741_C12_D4_LTPL5,3,1:42,B6,SUNNY,0.5,D,,0:29:16,0:27:57,0:15:44,,,,1:12:57,0:06:50,0:05:44,1:00:23,100,40,,5,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:41:42,0:34:52,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:57:13,0:50:23,,,NA,5,0:47:59,0:41:09,
AUGUST,28/08/2024,LANTANGPEO,L,4,L4,5,14,7:49,9:13,-5.466377,119.30229,50,23,28_08_2024_0749_C14_D5_LTPL4,4,1:24,B2,SUNNY,0.43,D,ULANGI. AIR TURUN,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
AUGUST,28/08/2024,LANTANGPEO,D,6,D6,6,1,7:54,9:17,-5.467135,119.302812,42,18,28_08_2024_0754_C1_D6_LTPD6,3,1:23,B11,SUNNY,0.43,D,,0:28:20,0:25:43,0:02:56,,,,0:56:59,0:06:14,,0:50:45,50,50,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
AUGUST,29/08/2024,LANTANGPEO,D,5,D5,1,5,7:22,9:46,-5.468265,119.302079,43,20,29_08_2024_0722_C5_D1_LTPD5,3,2:24,UNNAME,SUNNY,0.55,D,REDO,0:25:43,0:25:43,0:08:09,,,,0:59:35,0:07:24,,0:52:11,100,100,,4,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:15:04,0:07:40,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:09:44,0:02:20,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
AUGUST,29/08/2024,LANTANGPEO,L,4,L4,2,12,7:28,9:51,-5.466377,119.30229,50,24,29_08_2024_0728_C12_D2_LTPL4,3,2:23,B25,SUNNY,0.55,D,REDO,0:25:44,0:25:44,0:09:24,,,,1:00:52,0:05:27,,0:55:25,80,100,,7,5,,,NA,2,0:09:13,0:03:46,,,NA,1,0:43:34,0:38:07,,,NA,1,0:26:00,0:20:33,1,0:18:45,0:13:18,,,NA,,,NA,5,0:06:41,0:01:14,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
AUGUST,29/08/2024,LANTANGPEO,E,4,E4,3,CNEW,7:44,9:08,-5.463951,119.287291,75,64,29_08_2024_0744_CNEW_D3_LTPE4,4,1:24,BN2,SUNNY,0.55,D,,0:25:00,0:21:24,0:21:24,0:21:33,,,1:29:21,0:06:15,0:22:33,1:00:33,80,100,,7,5,2,0:06:26,0:00:11,1,0:45:26,0:39:11,2,1:03:37,0:57:22,1,0:10:23,0:04:08,,,NA,,,NA,1,0:57:01,0:50:46,,,NA,,,NA,6,0:16:12,0:09:57,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:12:28,0:06:13,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:14:10,0:07:55,,,NA,
AUGUST,29/08/2024,LANTANGPEO,E,6,E6,4,14,7:49,9:11,-5.463902,119.28802,50,40,29_08_2024_0749_C14_D4_LTPE6,3,1:22,B29,SUNNY,0.52,D,,0:29:27,0:25:43,0:07:51,,,,1:03:01,0:06:48,,0:56:13,100,80,,6,5,,,NA,,,NA,4,0:40:03,0:33:15,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,14,0:51:02,0:44:14,,,NA,,,NA,1,0:17:44,0:10:56,,,NA,,,NA,,,NA,,,NA,1,0:11:45,0:04:57,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:22:51,0:16:03,,,NA,
AUGUST,29/08/2024,LANTANGPEO,E,5,E5,5,11,8:00,9:21,-5.462089,119.286874,70,60,29_08_2024_0800_C11_D5_LTPE5,3,1:21,B3,SUNNY,0.52,D,,0:26:46,0:25:44,0:16:56,,,,1:09:26,0:06:15,0:01:50,1:01:21,80,100,,5,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,9,0:14:46,0:08:31,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:19:36,0:13:21,2,0:43:17,0:37:02,
,,,,,,,,,,#N/A,#N/A,,,,,0:00,,,,,,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
