MONTH,DATE,DESA,SITE_TYPE,SITE_NO,SITENAME_COMBINE,DEPLOYMENT,NO_CAMERA,TIME_DROPPED,TIME_PICKEDUP,LATITUDE,LONGITUDE,WATER_DEPTH_BEFORE,WATER_DEPTH_AFTER,VIDEO_FILENAME,NO_FILES,TIME_TOTALFOOTAGE,NO_BATTERY,WEATHER,TIDE_HEIGHT,TIDE_DIRECTION,NOTES_FIELD,F1_TIME,F2_TIME,F3_TIME,F4_TIME,F5_TIME,F6_TIME,TOTALTIME_RECORDING,ANALYSISTIME_START,ANALYSISTIME_END,TOTALTIME_ANALYSIS,VISIBILITY,VEGITATION,NOTES_TIME,NO_ALLSPECIES,NO_FISHSPECIES,MAXN_UNIDGUPPY,TIME_1STUNIDGUPPY,T1_UNIDGUPPY,MAXN_GUPPYBOTH,TIME_1STGUPPYBOTH,T1_GUPPYBOTH,MAXN_GUPPYA,TIME_1STGUPPYA,T1_GUPPYA,MAXN_GUPPYB,TIME_1STGUPPYB,T1_GUPPYB,MAXN_GUPPYC,TIME_1STGUPPYC,T1_GUPPYC,MAXN_BLOWFISH,TIME_1STBLOWFISH,T1_BLOWFISH,MAXN_FISHA,TIME_1STFISHA,T1_FISHA,MAXN_FISHD,TIME_1STFISHD,T1_FISHD,MAXN_FISHE,TIME_1STFISHE,T1_FISHE,MAXN_FISHF,TIME_1STFISHF,T1_FISHF,MAXN_FISHG,TIME_1STFISHG,T1_FISHG,MAXN_FISHH,TIME_1STFISHH,T1_FISHH,MAXN_FISHK,TIME_1STFISHK,T1_FISHK,MAXN_FISHL,TIME_1STFISHL,T1_FISHL,MAXN_FISHM,TIME_1STFISHM,T1_FISHM,MAXN_FISHN,TIME_1STFISHN,T1_FISHN,MAXN_FISHO,TIME_1STFISHO,T1_FISHO,MAXN_FISHP,TIME_1STFISHP,T1_FISHP,MAXN_FISHQ,TIME_1STFISHQ,T1_FISHQ,MAXN_FISHR,TIME_1STFISHR,T1_FISHR,MAXN_FISHS,TIME_1STFISHS,T1_FISHS,MAXN_KERONGKERONG,TIME_1STKERONGKERONG,T1_KERONGKERONG,MAXN_YL,TIME_1STYL,T1_YL,MAXN_BFLY1,TIME_1STBFLY1,T1_BFLY1,MAXN_CHEETAGIRLZ,TIME_1STCHEETAGIRLZ,T1_CHEETAGIRLZ,MAXN_FISHJ,TIME_FISHJ,T1_FISHJ,MAXN_EYELINER,TIME_1STEYELINER,T1_EYELINER,MAXN_VERTFISH,TIME_1STVERTFISH,T1_VERTFISH,MAXN_BIGBOI,TIME_1STBIGBOI,T1_BIGBOI,MAXN_SANDFISH,TIME_1STSANDFISH,T1_SANDFISH,MAXN_PIPEFISH,TIME_1STPIPEFISH,T1_PIPEFISH,NOTES_SPECIES
JULY,1/8/2024,LANTANGPEO,E,6,E6,1,14,6:24,8:20,-5.463902,119.28802,57,60,01_08_2024_0629_C14_D1_LTPE6,3,1:56,B3,SUNNY,0.52,I,,0:37:35,0:27:23,0:07:44,,,,1:12:42,0:11:36,,1:01:06,100,40,,6,5,54,0:12:28,0:00:52,1,0:23:00,0:11:24,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:53:13,0:41:37,,,NA,,,NA,1,0:21:48,0:10:12,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:28,0:16:37,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:52,0:40:56,
JULY,1/8/2024,LANTANGPEO,E,4,E4,2,CNEW,6:28,8:15,-5.463951,119.287291,83,88,01_08_2024_0628_CNEW_D2_TMPE4,6,1:47,BN1,SUNNY,0.52,I,,0:21:41,0:21:24,0:21:24,0:21:24,0:21:24,,1:47:17,0:38:05,,1:09:12,,,,1,0,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
JULY,1/8/2024,LANTANGPEO,E,5,E5,3,11,6:46,8:04,-5.462089,119.286874,73,80,01_08_2024_0646_C11_D3_TMPE5,3,1:18,B24,SUNNY,0.57,I,,0:35:17,0:25:45,0:04:55,,,,1:05:57,0:07:47,,0:58:10,90,90,,5,4,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2,0:12:39,0:04:52,,,NA,,,NA,3,0:11:24,0:03:37,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:52:29,0:44:42,2,1:02:34,0:54:47,,,NA,
JULY,1/8/2024,LANTANGPEO,L,6,L6,1,1,6:34,8:24,-5.468651,119.300428,59,59,01_08_2024_0634_C1_D1_TMPL6,3,1:50,B11,SUNNY,0.52,I,,0:42:32,0:37:57,0:10:39,,,,1:31:08,0:29:21,,1:01:47,100,70,,6,5,1,0:38:12,0:08:51,4,1:14:20,0:44:59,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,17,0:38:43,0:09:22,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,4,1:16:00,0:46:39,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,4,0:53:51,0:24:30,1,1:01:43,0:32:22,,,NA,
JULY,1/8/2024,LANTANGPEO,D,5,D5,4,1,8:35,10:27,-5.468265,119.302079,50,31,01_08_2024_0835_C1_D4_TMPD5,3,1:52,B14,SUNNY,0.61,D,,0:28:30,0:29:25,0:10:06,,,,1:08:01,0:06:08,,1:01:53,90,50,,4,2,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:45:45,0:39:37,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:57:26,0:51:18,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
JULY,1/8/2024,LANTANGPEO,D,4,D4,2,5,6:37,8:24,-5.468826,119.300459,56,60,01_08_2024_0637_C5_D2_TMPD4,3,1:47,B18,SUNNY,0.52,I,,0:41:24,0:27:57,0:13:13,,,,1:22:34,0:19:00,,1:03:34,100,100,,3,1,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:41:54,0:22:54,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
JULY,1/8/2024,LANTANGPEO,D,6,D6,5,5,8:52,10:23,-5.467135,119.302812,52,36,01_08_2024_0852_C5_D5_TMPD6,3,1:31,B20,SUNNY,0.58,D,,0:25:43,0:25:43,0:17:57,,,,1:09:23,0:06:43,,1:02:40,100,100,,5,4,,,NA,2,0:12:37,0:05:54,,,NA,,,NA,,,NA,2,0:40:50,0:34:07,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1,0:17:49,0:11:06,1,0:31:20,0:24:37,
JULY,1/8/2024,LANTANGPEO,L,5,L5,3,12,6:49,8:35,-5.468251,119.301957,43,50,01_08_2024_0649_C1_D3_TMPL5,2,1:46,B6,SUNNY,0.57,I,,0:42:35,0:31:34,,,,,1:14:09,0:11:00,,1:03:09,100,20,,3,3,1,0:38:39,0:27:39,3,0:12:38,0:01:38,,,NA,1,0:38:39,0:27:39,,,NA,1,0:32:41,0:21:41,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,,,,,,,,,,#N/A,#N/A,,,,,0:00,,,,,,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,,,,,,,,,,#N/A,#N/A,,,,,0:00,,,,,,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,,,,,,,,,,#N/A,#N/A,,,,,0:00,,,,,,,,,,,,0:00:00,,,0:00:00,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
